username,os,region,date
pchamberlain0,Android,Africa,1486622559
nhaswall1,iOS,North America,1487170311
cgarnul2,iOS,Oceania,1487266072
preach3,iOS,North America,1487254584
taiskovitch4,Android,Oceania,1486984246
flumber5,Android,South America,1488234245
irecords6,iOS,North America,1486937467
cmapother7,iOS,South America,1486165810
kmorales8,Android,South America,1486532790
asquirrell9,iOS,Africa,1486046505
emacbarrona,iOS,South America,1486990096
aturnpennyb,iOS,Oceania,1488088331
jgrancherc,iOS,Asia,1486246049
cdeluciad,iOS,Oceania,1486636181
tfoystere,Android,South America,1488216240
gjeanonf,iOS,Africa,1486857496
lbaxstareg,iOS,Asia,1487538474
cquinceyh,iOS,South America,1486093667
kgoreyi,Android,Africa,1486743932
rdacresj,Android,North America,1487403161
amacgillreichk,iOS,Europe,1487920370
cschultl,Android,North America,1487067784
wbernardinim,iOS,Asia,1486875695
jbillen,Android,Africa,1487389505
fhalleyboneo,Android,Oceania,1486429692
sbeep,Android,Asia,1486916399
wjanicq,iOS,Oceania,1486141719
lmifflinr,iOS,Africa,1487121492
rlancleys,Android,Africa,1487616731
cworrillt,Android,Oceania,1487846933
chessentaleru,Android,Africa,1487094049
dabdonv,iOS,Oceania,1487267675
acomiskeyw,Android,North America,1486206768
fstarrsx,iOS,South America,1485940613
mkeighleyy,Android,North America,1486391255
pransleyz,Android,Oceania,1486220294
srillett10,Android,Oceania,1487329992
pcrawley11,iOS,Oceania,1487629826
abarras12,iOS,Europe,1486629437
gstoker13,Android,North America,1486442607
ahuck14,iOS,Oceania,1486709897
iduck15,iOS,Europe,1486177147
bradnedge16,iOS,Europe,1487948258
ssimion17,iOS,South America,1487160838
cblandford18,iOS,North America,1485998978
timlacke19,iOS,South America,1487827452
bprosch1a,Android,South America,1486374716
ufendlen1b,iOS,South America,1486174159
lblunn1c,iOS,Africa,1487056393
cstandall1d,Android,Asia,1486841269
lokielt1e,iOS,Asia,1487381561
grobelow1f,iOS,Europe,1486069889
avarey1g,Android,Europe,1486379802
sschoffel1h,Android,Oceania,1487755937
gbrideaux1i,iOS,North America,1488206305
sfant1j,iOS,North America,1485979643
jcolville1k,Android,Africa,1486978349
abasezzi1l,Android,North America,1487686567
ddoram1m,iOS,Africa,1487686045
hcornils1n,Android,Asia,1486083641
rvannucci1o,iOS,North America,1487000633
cgathwaite1p,Android,South America,1487919154
tbuxsy1q,iOS,Asia,1487827867
fgiroldo1r,Android,Asia,1487152766
akirsch1s,iOS,South America,1487901104
cboules1t,Android,Africa,1486870436
jwilcher1u,Android,Oceania,1488174199
rwigley1v,Android,Oceania,1487827662
rmaddyson1w,Android,South America,1486561457
cdeacon1x,iOS,Asia,1486728082
jdahlback1y,Android,Europe,1486478338
hkernar1z,iOS,Asia,1487870655
pdelafield20,iOS,North America,1487346924
ldomesday21,Android,South America,1486561890
awedmore22,Android,Africa,1487685632
hgoodey23,Android,Europe,1486444089
gegel24,Android,Asia,1487276000
tatherley25,Android,South America,1487307161
fmarages26,Android,Asia,1486203833
aguerrier27,iOS,South America,1488104367
mibberson28,Android,Oceania,1488028911
hsherrum29,iOS,Oceania,1486547461
hgilpillan2a,Android,Oceania,1487074592
rsteen2b,Android,North America,1487958983
rleach2c,Android,North America,1487911501
jrodriguez2d,iOS,Africa,1487751631
kbachshell2e,iOS,Europe,1486288007
msprigin2f,Android,Europe,1486620692
segleton2g,Android,Africa,1486145362
wniezen2h,iOS,North America,1486836093
