username,os,region,date
rbrade0,iOS,Europe,1506875921
imarco1,Android,Europe,1507072694
jwilsone2,iOS,Oceania,1507964496
bdonoher3,iOS,Oceania,1507922633
teddleston4,iOS,Africa,1509259412
pimrie5,iOS,North America,1509054670
jmacardle6,Android,Oceania,1507834371
tleivers7,Android,Europe,1508908486
rfitzharris8,Android,Europe,1508660047
fcopello9,Android,North America,1509369771
cbaglana,iOS,Asia,1507213644
kbeedleb,Android,Africa,1507901705
rroadc,Android,Europe,1507050826
acordalld,iOS,South America,1507249302
ldorritye,iOS,South America,1507020345
ecermanf,iOS,Africa,1509308084
ktenantg,iOS,North America,1508148663
gschutzeh,iOS,South America,1507887508
aghironi,iOS,Asia,1508579905
cjiraj,iOS,Europe,1509176472
dlecordierk,iOS,Asia,1507059489
espickettl,iOS,South America,1507432847
bpichmannm,iOS,South America,1508426136
cpleasauncen,Android,Africa,1508535209
aclaremonto,Android,Europe,1508586686
mstonemanp,iOS,Asia,1508708086
njimmisonq,Android,Oceania,1508617960
igadsonr,iOS,North America,1508579733
iprooms,Android,Europe,1508459706
dcumot,Android,Oceania,1507994764
lgniewoszu,Android,Africa,1507785153
ffaierv,Android,North America,1507820923
bpercifullw,iOS,South America,1506925887
tgrosex,iOS,North America,1507285510
aateggarty,Android,Asia,1509297480
afaltskogz,Android,Europe,1507458193
lrymell10,iOS,Europe,1508868745
dainsby11,iOS,Africa,1508405007
mcollingridge12,Android,Europe,1508145665
drubinovitsch13,iOS,Africa,1508663673
ftrewartha14,iOS,Asia,1507936154
thulburd15,Android,North America,1508620392
rjakubowicz16,iOS,Africa,1506943392
raudritt17,iOS,Oceania,1508480629
aroseburgh18,iOS,Europe,1507260330
spicot19,iOS,Europe,1507831090
fshepherd1a,Android,Africa,1508648326
cchristofle1b,Android,Europe,1508649691
ejoselevitch1c,Android,Europe,1508806668
fdobbins1d,Android,Oceania,1508376799
lseakin1e,Android,Europe,1509059779
frenouf1f,iOS,Africa,1507421197
gmenezes1g,Android,Oceania,1508819834
psharrock1h,Android,Africa,1508775108
esmiths1i,Android,Europe,1506858229
atremathick1j,Android,North America,1507635623
kralfe1k,Android,South America,1508389277
jandric1l,Android,Oceania,1508620522
gfulle1m,Android,Africa,1508715932
kfebvre1n,iOS,North America,1507581140
smcdowell1o,iOS,Europe,1507688114
rhaycraft1p,Android,Oceania,1507223301
rbabb1q,iOS,Asia,1507119577
candryushchenko1r,iOS,Asia,1507408504
dtrollope1s,Android,Asia,1508864323
dsolley1t,Android,Oceania,1507596555
lgiacopetti1u,iOS,South America,1507479541
ystoker1v,Android,Oceania,1507883180
foxnam1w,Android,Asia,1508818317
sbakesef1x,iOS,Africa,1507977231
ctrim1y,iOS,North America,1508461889
fweond1z,iOS,Africa,1508292923
tstailey20,iOS,South America,1507805090
ljozefowicz21,iOS,Europe,1508254290
kgimber22,Android,Europe,1508066040
pscollard23,Android,Oceania,1507701439
cladbrooke24,Android,Oceania,1508851821
dleefe25,Android,Europe,1508319884
bwarcop26,iOS,Europe,1507306087
btibalt27,Android,Asia,1507649521
eluten28,iOS,Europe,1507067237
ssommerlin29,iOS,Asia,1506823230
vbusse2a,iOS,Oceania,1507623374
jvousden2b,Android,North America,1506968523
khutfield2c,iOS,North America,1507704888
kdewdeny2d,iOS,South America,1507628262
epaddison2e,iOS,Africa,1507055257
lbawdon2f,Android,Europe,1509220064
bwhiten2g,Android,Africa,1508885372
emonckton2h,iOS,South America,1507177976
nberetta2i,Android,North America,1508504170
mderycot2j,Android,Europe,1508581651
hrobilliard2k,iOS,Asia,1507888282
afarnish2l,iOS,South America,1508251573
jmeigh2m,Android,Europe,1508961112
bivanichev2n,iOS,South America,1508306161
bbullivent2o,iOS,Oceania,1506848216
flamas2p,iOS,Europe,1508236116
clutty2q,Android,North America,1509292152
mfideler2r,Android,South America,1507036678
jdugget2s,iOS,Asia,1507161543
mdudbridge2t,iOS,Africa,1508822242
kdonett2u,Android,North America,1509154099
dfloris2v,Android,Oceania,1508701459
joloughane2w,iOS,Asia,1507197815
lgoldman2x,iOS,Africa,1509038473
dgiacovetti2y,Android,Oceania,1508791025
smaslin2z,Android,Europe,1508582139
fbleasby30,Android,South America,1507054789
jgirtin31,Android,Asia,1508219801
mnoteyoung32,iOS,Asia,1507818509
lvoce33,iOS,Oceania,1508402233
vacey34,Android,Oceania,1507255290
galywen35,Android,Africa,1509325114
bcapoun36,Android,North America,1508381478
kskipper37,Android,North America,1508521438
cinderwick38,Android,North America,1508541977
twestcot39,Android,Asia,1508384202
cbranca3a,Android,Europe,1507595337
bbrenneke3b,Android,Africa,1507968189
acrowden3c,iOS,Asia,1507817768
ggilliard3d,Android,Oceania,1508269319
gfullom3e,iOS,South America,1507232275
ksutlieff3f,Android,Africa,1507339253
lporker3g,Android,North America,1507062120
aoneal3h,Android,Asia,1509390079
cberston3i,Android,Europe,1509269026
lburtonwood3j,iOS,Africa,1509274554
blarenson3k,Android,Europe,1508144497
dheight3l,Android,North America,1507258139
tkonmann3m,Android,Oceania,1509363534
klinnemann3n,Android,South America,1507943913
bbaraja3o,iOS,Europe,1506875960
jtoward3p,Android,Africa,1509111097
keustace3q,iOS,Africa,1508438608
spennycuick3r,iOS,Africa,1507587311
aredd3s,iOS,Asia,1508048070
jyaknov3t,iOS,Asia,1507783000
rkensington3u,Android,Oceania,1507491424
lburleton3v,Android,South America,1508000933
hstclair3w,Android,Europe,1508818416
sseymer3x,iOS,Oceania,1508977590
vrutherforth3y,Android,South America,1506952266
zyeliashev3z,Android,Oceania,1508479697
cgenty40,iOS,South America,1506843120
murquhart41,iOS,North America,1508856495
ggreenwell42,iOS,Europe,1508789066
tfludder43,iOS,South America,1508883352
bsatcher44,iOS,North America,1508251556
oblockey45,iOS,Europe,1509045565
awilcock46,Android,Asia,1506877674
dbartolomivis47,Android,Oceania,1507067808
cakhurst48,iOS,Europe,1507134428
esteutly49,Android,Africa,1507874655
braftery4a,iOS,Asia,1508501252
llerohan4b,Android,South America,1507599524
rsutter4c,Android,Oceania,1508779129
tlailey4d,Android,Africa,1507355081
dwebling4e,iOS,North America,1508994815
asporrij4f,Android,Oceania,1508749929
ksimeoni4g,Android,North America,1508424492
bbelchambers4h,Android,Europe,1507231428
cbogie4i,Android,Europe,1509127573
cgitsham4j,iOS,North America,1508149097
cussher4k,Android,Europe,1508460421
wvanzon4l,Android,Europe,1507226848
ltomala4m,Android,Europe,1507292176
claroux4n,Android,Oceania,1508707652
lannon4o,iOS,Oceania,1508592528
cdriffield4p,iOS,Africa,1508793707
pcubbinelli4q,Android,North America,1507547974
rgouthier4r,iOS,Asia,1507365881
habeles4s,Android,Asia,1508240133
rfrandsen4t,Android,South America,1507492573
chousby4u,Android,South America,1507737056
rsapsford4v,iOS,North America,1507207518
lfrantzen4w,iOS,Asia,1506947393
gstanborough4x,iOS,Asia,1508699781
mdegiovanni4y,Android,North America,1508610579
breppaport4z,iOS,Europe,1508662657
fallsobrook50,iOS,North America,1507084611
bbartlosz51,Android,South America,1507410053
bbagby52,iOS,North America,1507143451
arudderham53,iOS,North America,1507410262
jcarah54,Android,Asia,1507111604
sblancowe55,Android,Asia,1508439847
wchiplin56,iOS,Oceania,1507102129
ggolding57,Android,Oceania,1509312223
tclarricoates58,Android,Africa,1507885535
smarcinkus59,Android,Oceania,1509113809
tborell5a,Android,Asia,1507250859
sdotson5b,iOS,Africa,1509086900
ggronaller5c,iOS,Europe,1509088685
sogleasane5d,Android,Asia,1506924355
dgrogono5e,iOS,Africa,1508449498
obranwhite5f,Android,North America,1508776690
tcollip5g,iOS,South America,1508258732
tlivens5h,Android,Oceania,1507007922
csayles5i,iOS,Asia,1508419372
mmitchard5j,iOS,Africa,1508647087
nhollow5k,iOS,Asia,1508316346
jortzen5l,iOS,North America,1506981781
mstitt5m,iOS,Asia,1508721004
ifayter5n,Android,North America,1508268940
pbracegirdle5o,Android,Europe,1509235440
