username,os,region,date
gpullinger0,Android,Asia,1496124925
mtogwell1,Android,Oceania,1494390726
odomotor2,Android,South America,1495226292
ddomanek3,Android,Africa,1495913528
kdykins4,Android,Europe,1493630932
aweatherburn5,iOS,North America,1494620875
kbuckthorp6,Android,Europe,1493946157
smacelroy7,iOS,North America,1496025712
gbutting8,iOS,Africa,1496092245
chatrey9,Android,South America,1494781041
sbolwella,Android,Africa,1495570954
zcarnb,Android,North America,1494366609
jbaverstockc,iOS,Africa,1493944075
kdavenportd,Android,South America,1495968815
wmcnivene,iOS,Oceania,1495225042
lcarlonef,Android,Oceania,1495917214
bvaleriog,iOS,Europe,1495325617
eponterh,Android,Oceania,1494881271
nhouldcrofti,Android,Africa,1494864889
lhannenj,Android,Asia,1495304523
rorrowk,Android,Oceania,1493653528
pstrittonl,iOS,Asia,1495480778
wgilcristm,Android,North America,1494148097
fraun,Android,North America,1494237010
sfeavearyearo,iOS,Oceania,1495453679
jgillionsp,iOS,Africa,1494238339
jschirachq,Android,South America,1494995988
dboddyr,Android,Asia,1496156893
osawers,Android,Asia,1495234181
jkillingwortht,Android,Asia,1493773788
gbradforthu,iOS,South America,1496132418
bfindonv,Android,Europe,1493658698
arushforthw,iOS,South America,1494401359
tkillingworthx,iOS,Europe,1494413782
vpennicotty,Android,Europe,1495346149
tbiasioz,Android,South America,1494229478
kgreder10,iOS,Africa,1493743194
gbrookfield11,iOS,Asia,1493691262
cbootes12,Android,South America,1494211221
gbrookton13,Android,Europe,1495289624
vogrowgane14,Android,Europe,1495111862
mburdekin15,iOS,Asia,1496014439
fphelipeaux16,iOS,North America,1495318199
astygall17,iOS,South America,1493961398
ckuzemka18,iOS,North America,1495581981
tmacgillavery19,iOS,Africa,1494628024
adidsbury1a,iOS,South America,1494091259
bcolvin1b,iOS,North America,1495744369
aledgley1c,Android,Asia,1495601921
iwillgress1d,iOS,Oceania,1495443974
lspavins1e,Android,Asia,1495757374
chardy1f,Android,South America,1495962489
ccurrao1g,iOS,Africa,1494466311
glowther1h,Android,South America,1496169412
tgoodlet1i,iOS,Asia,1495806259
adumphry1j,Android,South America,1495132554
tfoggarty1k,iOS,Europe,1493927255
dkingerby1l,iOS,South America,1494619244
ecomelini1m,Android,South America,1493631607
kpavier1n,Android,Asia,1494127476
bforton1o,Android,Europe,1494563545
troos1p,iOS,Europe,1495169438
nwinterton1q,iOS,North America,1494317712
jgommowe1r,Android,Asia,1494913658
nmuller1s,Android,Europe,1494805145
dmorfey1t,Android,Africa,1494587959
mconigsby1u,Android,Africa,1495510908
bhaythornthwaite1v,Android,Europe,1493933197
fwagner1w,Android,Oceania,1495134565
rdanneil1x,iOS,Oceania,1495823727
emoan1y,iOS,South America,1493936300
pclyne1z,Android,Oceania,1494553841
mfones20,Android,Europe,1494521182
mmeltetal21,iOS,North America,1494102819
dlewens22,Android,Europe,1495894060
wtimmermann23,iOS,Oceania,1494147737
rsharratt24,iOS,Africa,1495499682
hreichhardt25,Android,Asia,1494284778
jphilippart26,iOS,Africa,1495429736
mburrass27,iOS,North America,1494187399
csammars28,Android,Asia,1495329925
jgarraway29,iOS,Europe,1493674204
gletson2a,Android,Africa,1495258352
cgoodier2b,iOS,North America,1495680575
pcowtherd2c,iOS,North America,1496047744
dyekel2d,iOS,North America,1496001788
gpepon2e,iOS,Oceania,1495317484
wlippard2f,iOS,South America,1495094586
mmangion2g,iOS,Oceania,1496003465
cjans2h,Android,Africa,1493850088
jgeeson2i,Android,Africa,1495810601
mriehm2j,Android,Africa,1494504855
ainnett2k,iOS,Europe,1495833968
dwestmancoat2l,Android,North America,1495475306
sbevis2m,Android,Africa,1493628746
fcruddas2n,Android,Asia,1495006989
ggilder2o,Android,Oceania,1495194056
cjanas2p,iOS,Africa,1494369512
tmeadowcroft2q,Android,Asia,1494071944
mlittlejohn2r,Android,Oceania,1493625956
pgehringer2s,Android,Oceania,1493724572
wlowson2t,iOS,North America,1494722266
calfonsetti2u,iOS,Europe,1494429012
vmorkham2v,Android,Asia,1494874598
gklimczak2w,iOS,Europe,1493662628
gpaley2x,iOS,South America,1495903540
cchippin2y,Android,Asia,1495403114
kalf2z,iOS,Africa,1495392476
fbloor30,iOS,South America,1494556572
dmumby31,iOS,Asia,1494456135
jbreton32,iOS,North America,1495921978
aedmans33,Android,North America,1495482764
feastam34,iOS,Oceania,1496152126
ljosilowski35,Android,North America,1494855154
nbortoli36,iOS,Oceania,1495760170
rbenam37,Android,North America,1495967801
ccovington38,iOS,South America,1494869050
ebarbisch39,iOS,South America,1495396015
cbrucker3a,Android,Oceania,1494934926
lhuxtable3b,Android,Europe,1494215678
lstoate3c,iOS,Africa,1495375609
htoms3d,iOS,North America,1495709834
mogavin3e,Android,North America,1493720480
lpellitt3f,iOS,Oceania,1494567491
lteese3g,iOS,Oceania,1494249348
pmcfadden3h,iOS,Oceania,1494142741
bunderdown3i,Android,South America,1494565203
bmeddings3j,Android,Asia,1495917788
bpentecost3k,Android,North America,1495181431
kheritege3l,Android,Africa,1494921425
jbraywood3m,Android,South America,1494966735
nbabinski3n,iOS,Oceania,1495002731
qmulran3o,Android,South America,1495815306
psmithies3p,Android,North America,1494931852
gwigin3q,iOS,Africa,1494106653
amainwaring3r,iOS,Asia,1494710611
cwhopples3s,Android,Oceania,1493803287
ebartoleyn3t,iOS,South America,1494109588
gsherringham3u,Android,North America,1495946728
lstrange3v,Android,Oceania,1494625426
isweatman3w,iOS,Asia,1495267370
fmilkin3x,Android,Oceania,1495419681
smcbratney3y,iOS,Europe,1495350615
clynas3z,iOS,South America,1493670892
kmeasen40,iOS,Asia,1494602869
mwatting41,iOS,North America,1493913084
aruilton42,iOS,North America,1494562594
cbyass43,Android,Europe,1495289861
lkrystek44,iOS,North America,1494542278
yentres45,Android,North America,1494765708
aunderwood46,Android,Europe,1494296165
dgreenhead47,Android,Europe,1495922919
btrotton48,Android,North America,1493803596
kbalaam49,Android,Asia,1493997105
sglowacz4a,Android,Africa,1496017976
btimmens4b,Android,Africa,1495750511
schatterton4c,iOS,Europe,1495000140
bimlacke4d,Android,North America,1494528537
htrumble4e,Android,South America,1494331084
jschwartz4f,iOS,Europe,1495500838
dgrzeszczak4g,iOS,North America,1494003366
gthody4h,Android,Asia,1496178473
qashborn4i,Android,Africa,1494648140
amcettrick4j,Android,Oceania,1495585878
toldey4k,Android,North America,1494622209
ccastelijn4l,Android,North America,1495851031
npiddick4m,Android,North America,1494156329
