username,os,region,date
nsemrad0,Android,Asia,1509551342
bcammoile1,Android,North America,1510615394
msweeny2,Android,Europe,1510665086
atallis3,iOS,Africa,1511943103
dmettrick4,iOS,South America,1511278106
fparades5,Android,Africa,1509732752
wbailie6,Android,Europe,1511659310
ugallimore7,iOS,Asia,1509520354
gboxill8,iOS,Africa,1510870629
closseljong9,iOS,Europe,1510839312
ddumpletona,iOS,Africa,1511987700
mthayb,iOS,Africa,1511484515
anorcockc,iOS,South America,1510019859
tingarfilld,Android,Africa,1511471350
jsplevine,iOS,North America,1511820723
djansef,Android,Asia,1510656010
ckinaneg,iOS,Oceania,1510837937
ssilvestonh,Android,North America,1510302423
eillistoni,iOS,Asia,1510057685
lgrigoryovj,Android,North America,1510914453
etollidayk,Android,Europe,1509832538
rbellinol,iOS,Asia,1509819402
btimberlakem,iOS,Europe,1511546296
hsprayn,iOS,Europe,1511599192
shiggoneto,iOS,North America,1511928356
aguppiep,iOS,Europe,1510943974
zsummerfieldq,Android,Oceania,1510535406
brustanr,Android,South America,1511978622
kbillins,iOS,North America,1510277713
avlasenkovt,iOS,Africa,1509921890
tcampsu,iOS,Europe,1511640340
gwabbv,Android,Asia,1511509144
dlehrmannw,Android,South America,1511989508
asaicex,Android,Europe,1511996770
bcrewy,Android,Africa,1509915205
djessez,iOS,Asia,1510709751
averbrugge10,iOS,Africa,1510022716
lmosson11,Android,South America,1511781267
ecoronas12,iOS,North America,1509909545
rsharphouse13,iOS,Africa,1510915480
msiebert14,iOS,Africa,1510598029
fanster15,Android,Asia,1509589728
jmendes16,Android,Africa,1511563036
ecaughey17,iOS,Asia,1510450834
dgodman18,iOS,Asia,1510599512
pforsyth19,Android,Africa,1510943757
kdellar1a,iOS,Africa,1510026296
mplowell1b,iOS,Asia,1510185519
tbaker1c,Android,Oceania,1509805696
eleppard1d,Android,Asia,1511563193
nwardale1e,iOS,North America,1511346776
scollin1f,Android,North America,1509951594
chiner1g,iOS,Africa,1510479612
ygrooby1h,iOS,Asia,1511877775
nmatthaus1i,iOS,Oceania,1509734946
wpresser1j,Android,Europe,1511105387
nwoolager1k,Android,Europe,1509951933
wfere1l,Android,Asia,1510247137
cfarherty1m,iOS,Europe,1511570219
paustins1n,iOS,Africa,1510439568
xbront1o,Android,South America,1511146752
gstrover1p,iOS,Asia,1511575617
kspilsted1q,Android,Africa,1509566834
jgallaccio1r,Android,Europe,1510772774
enairn1s,Android,North America,1510770360
nantonich1t,Android,Asia,1511574784
joakshott1u,iOS,Europe,1509742663
kstirrip1v,Android,Oceania,1511878288
toliveti1w,Android,Europe,1509829360
bmactrusty1x,Android,South America,1509896524
rguise1y,Android,Africa,1509621976
jgovenlock1z,Android,Africa,1511859945
mgeorgeau20,iOS,North America,1511927496
crastrick21,iOS,Europe,1511438558
hniesel22,Android,North America,1509703554
btrusdale23,iOS,Africa,1511680582
jpitbladdo24,Android,North America,1510818194
dbeeson25,iOS,Oceania,1510687627
byakhin26,iOS,Oceania,1511310706
dgilluley27,iOS,South America,1510660897
mwixey28,iOS,North America,1509724157
ptownshend29,Android,Africa,1511028740
cmulcahy2a,iOS,South America,1511402745
lcourage2b,Android,Asia,1509751258
chubberstey2c,Android,Oceania,1509703962
wmaddison2d,iOS,Asia,1510088489
aulrik2e,Android,Oceania,1510336682
jperkinson2f,iOS,South America,1511457304
wpinnick2g,Android,South America,1511164108
qpilipets2h,iOS,South America,1511835157
rbanbridge2i,iOS,North America,1509898592
jrenachowski2j,Android,Europe,1511618134
dmathwin2k,Android,Europe,1510167476
aspaunton2l,Android,South America,1510526784
hmccunn2m,Android,South America,1511329368
hdrayson2n,Android,Asia,1511819389
sbidder2o,iOS,Africa,1510549937
eaymeric2p,iOS,Africa,1509878742
pixer2q,Android,South America,1511798276
mdoughill2r,iOS,Europe,1510002413
thuerta2s,iOS,Europe,1510840420
mbassham2t,iOS,Asia,1510576264
mamor2u,Android,Oceania,1511559502
mmillimoe2v,iOS,Asia,1511844408
pforber2w,Android,North America,1509555250
dfairfoot2x,iOS,Europe,1510166052
sjonk2y,Android,Oceania,1510492399
bquare2z,Android,Europe,1511016440
tkippax30,Android,Africa,1509722941
hclyde31,Android,Asia,1511505514
mbark32,iOS,South America,1511683941
mkrzyzaniak33,iOS,Africa,1510367829
gmunehay34,Android,South America,1510545044
gbeatens35,iOS,Africa,1510369139
ebison36,iOS,Africa,1511302075
mpabel37,Android,North America,1511051559
psnalum38,Android,Asia,1509561374
owogan39,Android,Oceania,1511253127
mmulhall3a,iOS,Oceania,1509780925
kmalling3b,iOS,South America,1510140156
dslocumb3c,iOS,South America,1510326147
mcaslin3d,iOS,Africa,1509730946
jferrand3e,iOS,South America,1510497176
baccum3f,Android,Africa,1511248291
nfeldbau3g,iOS,South America,1510525560
rbrayson3h,iOS,Asia,1511920422
gwoodland3i,Android,Asia,1510245319
mchaudhry3j,Android,Africa,1509944077
tproughten3k,Android,Europe,1510987320
rmellows3l,iOS,Oceania,1511923106
jvarley3m,iOS,Europe,1510392637
jnano3n,iOS,Oceania,1511294246
hnovotni3o,iOS,South America,1510892689
gthor3p,iOS,North America,1510935355
dohrtmann3q,Android,South America,1510377759
rbraithwait3r,Android,Asia,1509941947
ycoupland3s,iOS,Oceania,1510067977
bmcilwaine3t,Android,Africa,1511043405
sody3u,iOS,South America,1510248723
dtorri3v,iOS,Europe,1511252497
bpennyman3w,iOS,Europe,1510221942
rbenko3x,Android,Asia,1511846881
fduhig3y,iOS,South America,1510111322
tallain3z,Android,North America,1510016731
