username,os,region,date
mchetwynd0,iOS,North America,1488971984
sduprey1,Android,South America,1489249843
adivers2,iOS,Oceania,1488403308
czarfati3,Android,Oceania,1490649058
jpollok4,iOS,Asia,1489800737
aduley5,Android,Africa,1488692485
dbosch6,iOS,North America,1488552141
tdignum7,iOS,Oceania,1489013218
lcocci8,Android,Europe,1489783304
adoonican9,Android,Africa,1490297409
heliassena,Android,North America,1489049065
tjoutapaviciusb,iOS,North America,1489399348
troncac,iOS,Europe,1488786214
asawtelld,iOS,Asia,1488685124
gpirdye,iOS,Europe,1489901441
ecurpheyf,Android,Africa,1488932476
fbaptieg,iOS,Europe,1489470522
rattenboroughh,iOS,Oceania,1490293066
meddingtoni,iOS,Oceania,1489746849
leathertonj,iOS,South America,1490598233
ncaink,Android,Africa,1489789541
tratcliffl,Android,South America,1488510339
cthirlwallm,Android,Africa,1490035263
mdunckleyn,iOS,North America,1488765501
bwinterborneo,iOS,South America,1489870972
treadwinp,Android,Asia,1489700834
mfrankishq,iOS,Oceania,1490068106
deleshenarr,Android,Asia,1490511209
rgemsons,Android,Asia,1490608320
isandercroftt,Android,Oceania,1488572133
prussonu,iOS,North America,1490050079
varrolv,Android,Asia,1488612831
acroanw,iOS,South America,1489080630
lfollettx,Android,Africa,1490400703
eferrarony,iOS,North America,1488382197
dfollowsz,Android,Africa,1489087744
ksowman10,iOS,Oceania,1489887118
rgrimbaldeston11,Android,North America,1488772993
mbresner12,Android,South America,1489166695
ubassindale13,Android,Asia,1490338783
flowrie14,iOS,Africa,1490310160
pkleinhandler15,Android,South America,1489597133
lnoen16,iOS,North America,1490086954
ctopping17,Android,South America,1488335424
gextence18,iOS,South America,1488369465
ebeceril19,Android,Europe,1490772544
aclipston1a,iOS,Africa,1488592933
cdamrel1b,iOS,Europe,1488541199
klear1c,Android,North America,1490163557
rwarburton1d,Android,South America,1488477732
ccranny1e,iOS,North America,1490039711
earnowicz1f,iOS,Asia,1488867648
vsiveter1g,Android,Europe,1489440564
tsellens1h,iOS,Asia,1488704463
stoyer1i,Android,South America,1490619582
iemmison1j,iOS,North America,1489126596
chourigan1k,Android,South America,1490781953
bbaudy1l,iOS,Europe,1490486756
dblann1m,iOS,Africa,1489210315
apervoe1n,iOS,South America,1490276932
vharmes1o,Android,Oceania,1489605574
bhicks1p,Android,North America,1490659558
rtuckey1q,Android,Asia,1488365509
ashanks1r,iOS,North America,1488884943
lfinney1s,Android,Asia,1489782973
lgrasha1t,Android,Asia,1490538349
swharrier1u,iOS,Asia,1488490816
wendon1v,iOS,North America,1488865359
jperham1w,iOS,Asia,1490455543
dokie1x,Android,South America,1489556778
tperrelle1y,iOS,Asia,1488707617
ebreche1z,iOS,Oceania,1488813424
blamasna20,Android,South America,1489880307
bandrysiak21,iOS,Africa,1488456374
htrimby22,Android,Europe,1490469518
tcosta23,iOS,Oceania,1490483719
traffels24,iOS,Africa,1490177834
cmcturley25,iOS,Asia,1488865532
centres26,Android,North America,1488773015
dmckim27,iOS,North America,1490806996
sshambrook28,iOS,Africa,1490187413
bsnuggs29,iOS,Europe,1489844728
scinavas2a,Android,South America,1490162849
apogson2b,iOS,North America,1489787850
