username,os,region,date
snaire0,Android,Asia,1505110443
rsawday1,Android,Europe,1505230299
adollman2,iOS,North America,1504770583
glago3,iOS,Europe,1506273328
athomesson4,iOS,South America,1506280139
pmatei5,Android,Oceania,1505291217
rslite6,Android,Africa,1505980886
hgothup7,Android,North America,1505095140
hrewcastle8,Android,Asia,1505769434
zvinick9,iOS,Asia,1505407175
htrevenua,Android,Africa,1505785192
gruddleb,Android,Africa,1505292465
codellc,Android,Oceania,1505970142
mduleyd,Android,Oceania,1506418894
tpikhnoe,iOS,Asia,1505052718
tyeamanf,iOS,South America,1506166079
ohennerg,iOS,Europe,1506370489
ldeanh,iOS,Asia,1506516836
bdedneyi,Android,South America,1504951443
abickerdikej,iOS,Africa,1506278702
gvereckerk,iOS,South America,1504397611
pjarmainl,Android,North America,1504966362
dcavnorm,iOS,North America,1504775027
jbarnwelln,iOS,Africa,1506447541
elinnocko,Android,Oceania,1506355394
tgreevesonp,iOS,South America,1504417898
gessexq,iOS,Europe,1505714623
jolsenr,Android,Europe,1506492536
earchs,iOS,Asia,1505621604
jesht,iOS,Asia,1505758516
sarsonu,iOS,South America,1505291634
rabrahamsenv,iOS,Oceania,1504900099
tgauntlettw,iOS,Asia,1504720451
dwelberryx,iOS,Europe,1504779839
bvenningsy,iOS,Africa,1505178486
cevelingz,iOS,Europe,1504609839
lgeillier10,iOS,North America,1506447894
blackner11,iOS,Europe,1506367804
cboow12,Android,Africa,1505617294
krowbotham13,Android,Europe,1505061407
kwyborn14,Android,North America,1505670478
marnull15,iOS,Africa,1505872639
heles16,iOS,Oceania,1504977506
jpelham17,iOS,North America,1505016511
tverey18,iOS,North America,1505534401
rvelten19,Android,South America,1505354564
sgrishelyov1a,Android,South America,1506382766
swest1b,iOS,South America,1505678667
amcgreil1c,iOS,North America,1505824673
nohannay1d,iOS,Asia,1506018269
gvoak1e,iOS,Asia,1505858802
rrobinett1f,Android,Africa,1505652478
mmadgewick1g,Android,South America,1505183142
yrosbotham1h,iOS,North America,1505368064
mlefrank1i,Android,North America,1504287704
bkaradzas1j,iOS,Africa,1504688607
tgecks1k,iOS,Asia,1504896161
rstebbings1l,Android,Europe,1504971021
deverix1m,Android,Europe,1506279939
jabrahmovici1n,iOS,North America,1505044974
oornells1o,iOS,Europe,1505908691
abolver1p,iOS,Oceania,1505226238
dcosby1q,iOS,Oceania,1506524745
wberkely1r,Android,Africa,1506544324
cbiasotti1s,iOS,South America,1505339822
ddesousa1t,Android,Africa,1504928355
cjorez1u,iOS,North America,1504709770
sgettins1v,Android,Asia,1504864002
rkellick1w,Android,Oceania,1504855098
mheavens1x,Android,Africa,1504266482
betchell1y,Android,Oceania,1504470784
asottell1z,iOS,North America,1504878878
rpygott20,Android,Asia,1504242153
ssellan21,Android,South America,1506502691
pheindrich22,Android,Africa,1506500990
byakhin23,iOS,Europe,1506608080
dlidell24,iOS,Europe,1504346080
pcromie25,Android,North America,1506609386
chusbands26,Android,Asia,1504924896
gbreckenridge27,iOS,Europe,1504501560
lberthelet28,Android,Oceania,1504876548
cmaryman29,Android,Europe,1504945139
bleaf2a,Android,Oceania,1504802958
cdukesbury2b,iOS,South America,1505838549
dtwidle2c,iOS,Asia,1505181949
aseville2d,Android,Oceania,1505216993
svolks2e,Android,South America,1506539615
fsnaddon2f,Android,North America,1504715532
lmacgilpatrick2g,iOS,Africa,1505975812
iluckes2h,Android,Africa,1505536000
hsalmons2i,Android,Asia,1504491302
bdyter2j,iOS,North America,1504678841
msimmonett2k,Android,South America,1505714350
jdidomenico2l,Android,Europe,1505834983
mhartford2m,iOS,Europe,1505886678
lsimco2n,Android,Europe,1506547420
iguillart2o,iOS,Europe,1505500911
vgerasch2p,Android,Africa,1505255598
akarpe2q,Android,Europe,1506385660
mbrickett2r,iOS,North America,1506124415
mchimienti2s,iOS,Europe,1505960451
sknapman2t,Android,Europe,1506510333
wdeangelo2u,Android,Asia,1506698278
bhuertas2v,Android,South America,1505694543
bunwin2w,iOS,Africa,1506415811
awinear2x,iOS,Africa,1506079895
kbelcher2y,Android,South America,1506372768
vransley2z,iOS,North America,1506671385
bcoche30,iOS,Oceania,1504275889
sferebee31,iOS,South America,1504981281
cokenden32,iOS,North America,1504787442
lmulvagh33,Android,Oceania,1504770607
cpagram34,Android,Europe,1505621411
rfetherstan35,Android,Asia,1505736873
ebroggini36,Android,North America,1505128350
tmowlam37,iOS,North America,1504366531
